num,v,value,solution_path,time
20,8,168.9848150017826,"Any[(1, 9), (1, 17), (2, 8), (2, 16), (3, 12), (3, 15), (4, 8), (4, 13), (5, 15), (5, 18), (6, 12), (6, 19), (7, 9), (7, 20), (10, 14), (10, 17), (11, 13), (11, 14), (16, 18), (19, 20)]",0.01699995994567871
20,9,171.8529192512374,"Any[(1, 9), (1, 20), (2, 13), (2, 18), (3, 4), (3, 7), (4, 19), (5, 6), (5, 11), (6, 12), (7, 13), (8, 10), (8, 16), (9, 11), (10, 17), (12, 17), (14, 15), (14, 18), (15, 20), (16, 19)]",0.004999876022338867
20,10,142.99686472981787,"Any[(1, 8), (1, 13), (2, 4), (2, 13), (3, 11), (3, 15), (4, 7), (5, 9), (5, 16), (6, 14), (6, 18), (7, 19), (8, 18), (9, 10), (10, 12), (11, 20), (12, 15), (14, 16), (17, 19), (17, 20)]",0.018000125885009766
25,1,181.95871326035228,"Any[(1, 3), (1, 22), (2, 4), (2, 21), (3, 25), (4, 19), (5, 6), (5, 10), (6, 14), (7, 12), (7, 14), (8, 18), (8, 23), (9, 22), (9, 23), (10, 11), (11, 18), (12, 15), (13, 17), (13, 25), (15, 20), (16, 20), (16, 24), (17, 21), (19, 24)]",0.019999980926513672
25,2,215.66324675979732,"Any[(1, 7), (1, 18), (2, 8), (2, 22), (3, 4), (3, 21), (4, 10), (5, 14), (5, 25), (6, 7), (6, 16), (8, 24), (9, 12), (9, 25), (10, 23), (11, 19), (11, 20), (12, 22), (13, 19), (13, 24), (14, 23), (15, 17), (15, 20), (16, 17), (18, 21)]",0.051000118255615234
25,3,199.85698202836915,"Any[(1, 3), (1, 6), (2, 15), (2, 17), (3, 10), (4, 9), (4, 20), (5, 7), (5, 12), (6, 7), (8, 16), (8, 24), (9, 24), (10, 20), (11, 17), (11, 18), (12, 21), (13, 15), (13, 25), (14, 22), (14, 23), (16, 25), (18, 19), (19, 22), (21, 23)]",0.01399993896484375
25,4,215.67633109779854,"Any[(1, 17), (1, 23), (2, 10), (2, 22), (3, 10), (3, 14), (4, 6), (4, 7), (5, 16), (5, 25), (6, 12), (7, 24), (8, 17), (8, 21), (9, 11), (9, 18), (11, 14), (12, 13), (13, 19), (15, 23), (15, 25), (16, 19), (18, 20), (20, 24), (21, 22)]",0.023000001907348633
25,5,215.04234275458828,"Any[(1, 2), (1, 18), (2, 15), (3, 17), (3, 23), (4, 22), (4, 24), (5, 9), (5, 14), (6, 7), (6, 14), (7, 11), (8, 13), (8, 21), (9, 23), (10, 17), (10, 20), (11, 16), (12, 19), (12, 25), (13, 25), (15, 21), (16, 24), (18, 22), (19, 20)]",0.01699995994567871
25,6,204.869231087578,"Any[(1, 7), (1, 10), (2, 23), (2, 25), (3, 13), (3, 18), (4, 7), (4, 12), (5, 10), (5, 16), (6, 15), (6, 17), (8, 9), (8, 15), (9, 16), (11, 14), (11, 20), (12, 24), (13, 24), (14, 23), (17, 22), (18, 21), (19, 22), (19, 25), (20, 21)]",0.0690000057220459
25,7,178.25828710263343,"Any[(1, 21), (1, 22), (2, 4), (2, 6), (3, 10), (3, 12), (4, 15), (5, 15), (5, 23), (6, 13), (7, 9), (7, 23), (8, 20), (8, 22), (9, 18), (10, 11), (11, 20), (12, 16), (13, 19), (14, 18), (14, 24), (16, 17), (17, 25), (19, 21), (24, 25)]",0.020999908447265625
25,8,210.81633811222957,"Any[(1, 18), (1, 22), (2, 14), (2, 20), (3, 10), (3, 11), (4, 6), (4, 10), (5, 21), (5, 25), (6, 17), (7, 8), (7, 12), (8, 19), (9, 24), (9, 25), (11, 16), (12, 15), (13, 19), (13, 21), (14, 17), (15, 23), (16, 24), (18, 23), (20, 22)]",0.023000001907348633
25,9,193.06423630419448,"Any[(1, 3), (1, 19), (2, 11), (2, 17), (3, 6), (4, 5), (4, 7), (5, 9), (6, 23), (7, 25), (8, 18), (8, 19), (9, 15), (10, 16), (10, 20), (11, 21), (12, 16), (12, 23), (13, 14), (13, 18), (14, 21), (15, 24), (17, 25), (20, 22), (22, 24)]",0.009000062942504883
25,10,188.30717201636153,"Any[(1, 3), (1, 9), (2, 17), (2, 20), (3, 25), (4, 10), (4, 23), (5, 6), (5, 25), (6, 13), (7, 15), (7, 16), (8, 23), (8, 24), (9, 20), (10, 22), (11, 14), (11, 16), (12, 18), (12, 21), (13, 18), (14, 17), (15, 19), (19, 22), (21, 24)]",0.05500006675720215
30,1,287.5328278400889,"Any[(1, 11), (1, 26), (2, 12), (2, 24), (3, 6), (3, 24), (4, 22), (4, 25), (5, 14), (5, 22), (6, 21), (7, 19), (7, 23), (8, 15), (8, 23), (9, 12), (9, 29), (10, 18), (10, 30), (11, 15), (13, 20), (13, 28), (14, 19), (16, 25), (16, 27), (17, 18), (17, 26), (20, 30), (21, 27), (28, 29)]",0.0410001277923584
30,2,295.0305365079197,"Any[(1, 9), (1, 23), (2, 12), (2, 27), (3, 13), (3, 27), (4, 10), (4, 13), (5, 17), (5, 30), (6, 11), (6, 24), (7, 8), (7, 29), (8, 25), (9, 11), (10, 19), (12, 23), (14, 26), (14, 28), (15, 22), (15, 30), (16, 17), (16, 20), (18, 24), (18, 25), (19, 26), (20, 21), (21, 29), (22, 28)]",0.04499983787536621
30,3,262.59988053043725,"Any[(1, 2), (1, 27), (2, 5), (3, 7), (3, 20), (4, 7), (4, 11), (5, 24), (6, 15), (6, 22), (8, 25), (8, 28), (9, 13), (9, 14), (10, 20), (10, 23), (11, 13), (12, 21), (12, 24), (14, 29), (15, 25), (16, 19), (16, 30), (17, 18), (17, 30), (18, 23), (19, 28), (21, 22), (26, 27), (26, 29)]",0.06299996376037598
30,4,268.4055317396297,"Any[(1, 16), (1, 18), (2, 11), (2, 23), (3, 8), (3, 10), (4, 27), (4, 28), (5, 9), (5, 18), (6, 12), (6, 21), (7, 15), (7, 16), (8, 27), (9, 14), (10, 22), (11, 25), (12, 17), (13, 24), (13, 26), (14, 20), (15, 29), (17, 19), (19, 24), (20, 26), (21, 30), (22, 30), (23, 28), (25, 29)]",0.12600016593933105
30,5,242.52584433543137,"Any[(1, 17), (1, 20), (2, 3), (2, 4), (3, 10), (4, 22), (5, 11), (5, 24), (6, 7), (6, 19), (7, 16), (8, 12), (8, 29), (9, 16), (9, 30), (10, 19), (11, 14), (12, 23), (13, 18), (13, 24), (14, 20), (15, 17), (15, 25), (18, 27), (21, 29), (21, 30), (22, 26), (23, 27), (25, 28), (26, 28)]",0.04699993133544922
30,6,267.5949264753659,"Any[(1, 4), (1, 12), (2, 5), (2, 19), (3, 14), (3, 18), (4, 6), (5, 17), (6, 11), (7, 14), (7, 26), (8, 13), (8, 20), (9, 11), (9, 23), (10, 13), (10, 29), (12, 29), (15, 23), (15, 27), (16, 22), (16, 24), (17, 25), (18, 22), (19, 26), (20, 21), (21, 28), (24, 27), (25, 30), (28, 30)]",0.01699995994567871
30,7,280.64814936457304,"Any[(1, 13), (1, 17), (2, 10), (2, 13), (3, 15), (3, 27), (4, 28), (4, 30), (5, 24), (5, 25), (6, 8), (6, 14), (7, 21), (7, 26), (8, 11), (9, 27), (9, 28), (10, 16), (11, 22), (12, 16), (12, 30), (14, 29), (15, 24), (17, 29), (18, 19), (18, 26), (19, 20), (20, 25), (21, 23), (22, 23)]",0.06700015068054199
30,8,272.57635739984283,"Any[(1, 13), (1, 24), (2, 15), (2, 20), (3, 5), (3, 27), (4, 15), (4, 17), (5, 12), (6, 13), (6, 27), (7, 17), (7, 25), (8, 18), (8, 30), (9, 11), (9, 19), (10, 12), (10, 21), (11, 23), (14, 22), (14, 26), (16, 21), (16, 29), (18, 24), (19, 25), (20, 29), (22, 30), (23, 28), (26, 28)]",0.01399993896484375
30,9,286.01758531500775,"Any[(1, 13), (1, 15), (2, 13), (2, 26), (3, 18), (3, 27), (4, 8), (4, 16), (5, 21), (5, 23), (6, 20), (6, 28), (7, 19), (7, 26), (8, 9), (9, 10), (10, 21), (11, 23), (11, 30), (12, 18), (12, 30), (14, 20), (14, 29), (15, 25), (16, 25), (17, 24), (17, 28), (19, 29), (22, 24), (22, 27)]",0.03699994087219238
30,10,249.67185931693135,"Any[(1, 15), (1, 16), (2, 5), (2, 6), (3, 4), (3, 13), (4, 10), (5, 25), (6, 29), (7, 8), (7, 15), (8, 19), (9, 24), (9, 27), (10, 18), (11, 14), (11, 18), (12, 21), (12, 23), (13, 21), (14, 22), (16, 26), (17, 23), (17, 28), (19, 25), (20, 22), (20, 24), (26, 27), (28, 30), (29, 30)]",0.01699995994567871
35,1,336.80523725620947,"Any[(1, 2), (1, 14), (2, 20), (3, 6), (3, 9), (4, 23), (4, 28), (5, 16), (5, 20), (6, 13), (7, 18), (7, 35), (8, 14), (8, 29), (9, 30), (10, 17), (10, 24), (11, 12), (11, 32), (12, 27), (13, 15), (15, 21), (16, 34), (17, 32), (18, 22), (19, 28), (19, 35), (21, 33), (22, 25), (23, 30), (24, 31), (25, 27), (26, 31), (26, 34), (29, 33)]",0.25299978256225586
35,2,374.5718299768834,"Any[(1, 3), (1, 4), (2, 23), (2, 25), (3, 31), (4, 11), (5, 17), (5, 35), (6, 9), (6, 33), (7, 22), (7, 34), (8, 18), (8, 25), (9, 28), (10, 19), (10, 32), (11, 28), (12, 21), (12, 29), (13, 20), (13, 22), (14, 17), (14, 19), (15, 26), (15, 31), (16, 20), (16, 23), (18, 27), (21, 30), (24, 26), (24, 32), (27, 29), (30, 33), (34, 35)]",0.2050001621246338
35,3,321.7594927861327,"Any[(1, 22), (1, 33), (2, 3), (2, 16), (3, 13), (4, 21), (4, 35), (5, 34), (5, 35), (6, 20), (6, 25), (7, 10), (7, 22), (8, 29), (8, 33), (9, 12), (9, 31), (10, 30), (11, 13), (11, 32), (12, 23), (14, 18), (14, 27), (15, 19), (15, 26), (16, 17), (17, 24), (18, 24), (19, 34), (20, 23), (21, 28), (25, 30), (26, 31), (27, 29), (28, 32)]",0.17499995231628418
35,4,383.28888869296486,"Any[(1, 2), (1, 11), (2, 34), (3, 19), (3, 30), (4, 16), (4, 22), (5, 18), (5, 27), (6, 13), (6, 35), (7, 20), (7, 24), (8, 15), (8, 17), (9, 25), (9, 33), (10, 15), (10, 26), (11, 23), (12, 14), (12, 21), (13, 23), (14, 22), (16, 25), (17, 30), (18, 34), (19, 31), (20, 35), (21, 32), (24, 28), (26, 28), (27, 32), (29, 31), (29, 33)]",0.13300013542175293
35,5,326.93535826555785,"Any[(1, 17), (1, 30), (2, 31), (2, 35), (3, 6), (3, 33), (4, 13), (4, 16), (5, 12), (5, 30), (6, 9), (7, 13), (7, 17), (8, 15), (8, 22), (9, 15), (10, 32), (10, 33), (11, 16), (11, 21), (12, 27), (14, 27), (14, 31), (18, 24), (18, 35), (19, 20), (19, 28), (20, 34), (21, 23), (22, 26), (23, 26), (24, 25), (25, 29), (28, 32), (29, 34)]",0.04900002479553223
